,Datetime,Open,High,Low,Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_70,RSI_14_B_30,MA10,MA20,MA50,slopes,slopes20,slopess1p,slopes20s1p,macds1,macdss1,buy_pt,sell_pt,buy_pt_s1,sell_pt_s1,macdps1,macdsps1,macd_dn_to_up,macd_up_to_dn,macd_above_up,macd_above_dn,macd_below_up,macd_below_dn,vol_gt2,max,min,RSI_14_B_30s1,RSI_14_A_70s1,buy_price,Buy,Buy_zero,tot_buy,Buy_count_tmp,Buy_count,Sell,Sell_zero,tot_sell,Sell_count_tmp,Sell_count
0,2022-08-31 10:03:00,12408.25,12408.25,12408.25,12408.25,15519,,,,,0,0,,,,,,,,,,n,n,,,,,n,n,n,n,n,n,n,Nan,Nan,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
1,2022-08-31 10:04:00,12407.25,12407.25,12407.25,12407.25,15594,,,,,0,0,,,,,,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,0.0,0.0,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
2,2022-08-31 10:05:00,12410.75,12410.75,12410.75,12410.75,15668,,,,,0,0,,,,,,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,0.0,0.0,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
3,2022-08-31 10:06:00,12411.75,12411.75,12411.75,12411.75,15713,,,,,0,0,,,,,,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,0.0,0.0,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
4,2022-08-31 10:07:00,12409.5,12409.5,12409.5,12409.5,15754,,,,,0,0,,,,,,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,0.0,0.0,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
5,2022-08-31 10:08:00,12407.5,12407.5,12407.5,12407.5,15816,,,,,0,0,,,,,,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,0.0,0.0,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
6,2022-08-31 10:09:00,12410.0,12410.0,12410.0,12410.0,15837,,,,,0,0,,,,,,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,0.0,0.0,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
7,2022-08-31 10:10:00,12414.0,12414.0,12414.0,12414.0,15901,,,,,0,0,,,,,,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,0.0,0.0,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
8,2022-08-31 10:11:00,12413.25,12413.25,12413.25,12413.25,15942,,,,,0,0,,,,,,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,0.0,0.0,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
9,2022-08-31 10:12:00,12414.75,12414.75,12414.75,12414.75,16001,,,,,0,0,12410.7,,,33.56969841837246,,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,0.0,0.0,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
10,2022-08-31 10:13:00,12416.0,12416.0,12416.0,12416.0,16063,,,,,0,0,12411.475,,,38.28734836642794,,33.56969841837246,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,0.0,0.0,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
11,2022-08-31 10:14:00,12417.25,12417.25,12417.25,12417.25,16132,,,,,0,0,12412.475,,,39.44506307986453,,38.28734836642794,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,0.0,0.0,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
12,2022-08-31 10:15:00,12416.25,12416.25,12416.25,12416.25,16235,,,,,0,0,12413.025,,,42.415958143643145,,39.44506307986453,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,0.0,0.0,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
