,Datetime,Open,High,Low,Close,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_80,RSI_14_B_20,MA10,MA20,MA50,slopes,slopess1p,slope_chg_dn,slope_chg_up,slope_chg_up_s1,slope_chg_dn_s1,ma1s1,ma1s2,ma2s1,ma2s2,buy_pt,sell_pt,buy_pt_s1,sell_pt_s1,macds1,macdss1,macdps1,macdsps1,dn_to_up,up_to_dn,vol_gt2,buy_price,Buy,Buy_zero,tot_buy,Buy_count_tmp,Buy_count,Sell,Sell_zero,tot_sell,Sell_count_tmp,Sell_count,Sell_dep_buy,Sell_dep_buy_zero,tot_sell_dep_buy,Sell_dep_buy_tmp,Sell_dep_buy_count
0,2022-08-22 09:06:00,13074.5,13074.5,13074.5,13074.5,,,,,0,0,,,,,,NaN,NaN,,,,,,,n,n,,,,,,,n,n,n,NaN,NaN,0,0.0,0,0,,0,0.0,0,0,NaN,0.0,0.0,0,0
1,2022-08-22 09:07:00,13070.5,13070.5,13070.5,13070.5,,,,,0,0,,,,,,NaN,NaN,NaN,NaN,,,,,n,n,n,n,,,,,n,n,n,NaN,NaN,0,0.0,0,0,,0,0.0,0,0,NaN,0.0,0.0,0,0
2,2022-08-22 09:07:00,13070.75,13070.75,13070.75,13070.75,,,,,0,0,,,,,,NaN,NaN,NaN,NaN,,,,,n,n,n,n,,,,,n,n,n,NaN,NaN,0,0.0,0,0,,0,0.0,0,0,NaN,0.0,0.0,0,0
3,2022-08-22 09:08:00,13069.75,13069.75,13069.75,13069.75,,,,,0,0,,,,,,NaN,NaN,NaN,NaN,,,,,n,n,n,n,,,,,n,n,n,NaN,NaN,0,0.0,0,0,,0,0.0,0,0,NaN,0.0,0.0,0,0
4,2022-08-22 09:08:00,13067.0,13067.0,13067.0,13067.0,,,,,0,0,,,,,,NaN,NaN,NaN,NaN,,,,,n,n,n,n,,,,,n,n,n,NaN,NaN,0,0.0,0,0,,0,0.0,0,0,NaN,0.0,0.0,0,0
5,2022-08-22 09:09:00,13064.75,13064.75,13064.75,13064.75,,,,,0,0,,,,,,NaN,NaN,NaN,NaN,,,,,n,n,n,n,,,,,n,n,n,NaN,NaN,0,0.0,0,0,,0,0.0,0,0,NaN,0.0,0.0,0,0
6,2022-08-22 09:09:00,13065.25,13065.25,13065.25,13065.25,,,,,0,0,,,,,,NaN,NaN,NaN,NaN,,,,,n,n,n,n,,,,,n,n,n,NaN,NaN,0,0.0,0,0,,0,0.0,0,0,NaN,0.0,0.0,0,0
7,2022-08-22 09:10:00,13062.25,13062.25,13062.25,13062.25,,,,,0,0,,,,,,NaN,NaN,NaN,NaN,,13067.325,,,n,n,n,n,,,,,n,n,n,NaN,NaN,0,0.0,0,0,,0,0.0,0,0,NaN,0.0,0.0,0,0
8,2022-08-22 09:10:00,13065.0,13065.0,13065.0,13065.0,,,,,0,0,,,,,,NaN,NaN,NaN,NaN,13067.325,13066.2,,,n,n,n,n,,,,,n,n,n,NaN,NaN,0,0.0,0,0,,0,0.0,0,0,NaN,0.0,0.0,0,0
9,2022-08-22 09:11:00,13063.5,13063.5,13063.5,13063.5,,,,,0,0,13067.325,,,-49.87206295726098,,NaN,NaN,NaN,NaN,13066.2,13065.475,,,n,n,n,n,,,,,n,n,n,NaN,NaN,0,0.0,0,0,,0,0.0,0,0,NaN,0.0,0.0,0,0
10,2022-08-22 09:11:00,13063.25,13063.25,13063.25,13063.25,,,,,0,0,13066.2,,,-42.93213390228516,-49.87206295726098,NaN,NaN,NaN,NaN,13065.475,13064.8,,,n,n,n,n,,,,,n,n,n,NaN,NaN,0,0.0,0,0,,0,0.0,0,0,NaN,0.0,0.0,0,0
11,2022-08-22 09:11:00,13063.25,13063.25,13063.25,13063.25,,,,,0,0,13065.475,,,-38.81825856783263,-42.93213390228516,NaN,NaN,NaN,NaN,13064.8,13064.45,,,n,n,n,n,,,,,n,n,n,NaN,NaN,0,0.0,0,0,,0,0.0,0,0,NaN,0.0,0.0,0,0
12,2022-08-22 09:12:00,13064.0,13064.0,13064.0,13064.0,,,,,0,0,13064.8,,,-28.072486935852957,-38.81825856783263,NaN,NaN,NaN,NaN,13064.45,13064.475,,,n,n,n,n,,,,,n,n,n,NaN,NaN,0,0.0,0,0,,0,0.0,0,0,NaN,0.0,0.0,0,0
13,2022-08-22 09:12:00,13066.25,13066.25,13066.25,13066.25,,,,,0,0,13064.45,,,-7.082274260960964,-28.072486935852957,NaN,NaN,NaN,NaN,13064.475,13064.9,,,n,n,n,n,,,,,n,n,n,NaN,NaN,0,0.0,0,0,,0,0.0,0,0,NaN,0.0,0.0,0,0
14,2022-08-22 09:13:00,13067.25,13067.25,13067.25,13067.25,,,,33.70786516853933,0,0,13064.475,,,11.2264353318562,-7.082274260960964,NaN,y,NaN,NaN,13064.9,13065.475,,,n,n,n,n,,,,,n,n,n,NaN,NaN,0,0.0,0,0,,0,0.0,0,0,NaN,0.0,0.0,0,0
15,2022-08-22 09:13:00,13069.0,13069.0,13069.0,13069.0,,,,38.88446215139442,0,0,13064.9,,,24.874153914127643,11.2264353318562,NaN,NaN,y,NaN,13065.475,13066.325,,,n,n,n,n,,,,,n,n,n,NaN,NaN,0,0.0,0,0,,0,0.0,0,0,NaN,0.0,0.0,0,0
16,2022-08-22 09:13:00,13071.0,13071.0,13071.0,13071.0,,,,44.2431359391601,0,0,13065.475,,,39.341369382234035,24.874153914127643,NaN,NaN,NaN,NaN,13066.325,13066.85,,,n,n,n,n,,,,,n,n,n,NaN,NaN,0,0.0,0,0,,0,0.0,0,0,NaN,0.0,0.0,0,0
17,2022-08-22 09:14:00,13070.75,13070.75,13070.75,13070.75,,,,43.72701649073433,0,0,13066.325,,,41.746495571169795,39.341369382234035,NaN,NaN,NaN,NaN,13066.85,13067.6,,13067.4625,n,n,n,n,,,,,n,n,n,NaN,NaN,0,0.0,0,0,,0,0.0,0,0,NaN,0.0,0.0,0,0
18,2022-08-22 09:14:00,13070.25,13070.25,13070.25,13070.25,,,,42.65527089884268,0,0,13066.85,,,45.51616422976485,41.746495571169795,NaN,NaN,NaN,NaN,13067.6,13068.125,13067.4625,13067.1625,n,n,n,n,,,,,n,n,n,NaN,NaN,0,0.0,0,0,,0,0.0,0,0,NaN,0.0,0.0,0,0
19,2022-08-22 09:14:00,13071.0,13071.0,13071.0,13071.0,,,,44.83924751519386,0,0,13067.6,13067.4625,,45.60128295795138,45.51616422976485,NaN,NaN,NaN,NaN,13068.125,13068.75,13067.1625,13067.1125,n,n,n,n,,,,,n,n,n,NaN,NaN,0,0.0,0,0,,0,0.0,0,0,NaN,0.0,0.0,0,0
20,2022-08-22 09:15:00,13068.5,13068.5,13068.5,13068.5,,,,39.44632199121259,0,0,13068.125,13067.1625,,37.96502408956886,45.60128295795138,NaN,NaN,NaN,NaN,13068.75,13069.275,13067.1125,13067.0375,n,n,n,n,,,,,n,n,n,NaN,NaN,0,0.0,0,0,,0,0.0,0,0,NaN,0.0,0.0,0,0
21,2022-08-22 09:15:00,13069.5,13069.5,13069.5,13069.5,,,,42.429053429978865,0,0,13068.75,13067.1125,,27.937142826538604,37.96502408956886,NaN,NaN,NaN,NaN,13069.275,13069.575,13067.0375,13067.0125,n,n,n,n,,,,,n,n,n,NaN,NaN,0,0.0,0,0,,0,0.0,0,0,NaN,0.0,0.0,0,0
22,2022-08-22 09:15:00,13069.25,13069.25,13069.25,13069.25,,,,41.87373761242269,0,0,13069.275,13067.0375,,13.544973367945529,27.937142826538604,NaN,NaN,NaN,NaN,13069.575,13070.075,13067.0125,13067.275,n,n,n,n,,,,,n,n,n,NaN,NaN,0,0.0,0,0,,0,0.0,0,0,NaN,0.0,0.0,0,0
