,Datetime,Open,High,Low,Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_70,RSI_14_B_30,MA10,MA20,MA50,slopes,slopes20,slopess1p,slopes20s1p,macd_slopes10,macds1,macdss1,buy_pt,sell_pt,buy_pt_s1,sell_pt_s1,macdps1,macdsps1,macd_dn_to_up,macd_up_to_dn,macd_above_up,macd_above_dn,macd_below_up,macd_below_dn,vol_gt2,max,min,max_macd_val,max_macd_idx,min_macd_val,min_macd_idx,buy_price,Buy,Buy_zero,tot_buy,Buy_count_tmp,Buy_count,Sell,Sell_zero,tot_sell,Sell_count_tmp,Sell_count
0,2022-09-06 00:01:00,12133.25,12133.25,12133.25,12133.25,126275,,,,,0,0,,,,,,,,,,,n,n,,,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
1,2022-09-06 00:02:00,12133.5,12133.5,12133.5,12133.5,126326,,,,,0,0,,,,,,,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
2,2022-09-06 00:03:00,12134.5,12134.5,12134.5,12134.5,126381,,,,,0,0,,,,,,,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
3,2022-09-06 00:04:00,12133.0,12133.0,12133.0,12133.0,126425,,,,,0,0,,,,,,,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
4,2022-09-06 00:05:00,12132.5,12132.5,12132.5,12132.5,126501,,,,,0,0,,,,,,,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
5,2022-09-06 00:06:00,12135.5,12135.5,12135.5,12135.5,126552,,,,,0,0,,,,,,,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
6,2022-09-06 00:07:00,12136.75,12136.75,12136.75,12136.75,126596,,,,,0,0,,,,,,,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
7,2022-09-06 00:08:00,12135.75,12135.75,12135.75,12135.75,126633,,,,,0,0,,,,,,,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
8,2022-09-06 00:09:00,12137.0,12137.0,12137.0,12137.0,126667,,,,,0,0,,,,,,,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
9,2022-09-06 00:10:00,12138.75,12138.75,12138.75,12138.75,126711,,,,,0,0,12135.05,,,29.80094368561923,,,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
10,2022-09-06 00:11:00,12141.0,12141.0,12141.0,12141.0,126902,,,,,0,0,12135.825,,,37.85694909723579,,29.80094368561923,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
11,2022-09-06 00:12:00,12143.75,12143.75,12143.75,12143.75,127035,,,,,0,0,12136.85,,,46.520769661143774,,37.85694909723579,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
12,2022-09-06 00:13:00,12147.25,12147.25,12147.25,12147.25,127292,,,,,0,0,12138.125,,,55.685554002890825,,46.520769661143774,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
13,2022-09-06 00:14:00,12151.5,12151.5,12151.5,12151.5,127519,,,,,0,0,12139.975,,,61.64619001597067,,55.685554002890825,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
14,2022-09-06 00:15:00,12149.75,12149.75,12149.75,12149.75,127618,,,,82.75669079542118,1,0,12141.7,,,62.090053846588305,,61.64619001597067,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
15,2022-09-06 00:16:00,12148.75,12148.75,12148.75,12148.75,127692,,,,78.28035146868756,1,0,12143.025,,,61.72431165816921,,62.090053846588305,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
16,2022-09-06 00:17:00,12153.75,12153.75,12153.75,12153.75,127885,,,,83.17943768485843,1,0,12144.725,,,63.7270963365411,,61.72431165816921,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
17,2022-09-06 00:18:00,12152.0,12152.0,12152.0,12152.0,127963,,,,76.66174723654868,1,0,12146.35,,,61.269646992259624,,63.7270963365411,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
18,2022-09-06 00:19:00,12151.75,12151.75,12151.75,12151.75,127987,,,,75.74860375028223,1,0,12147.825,,,56.22963010261532,,61.269646992259624,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
19,2022-09-06 00:20:00,12152.5,12152.5,12152.5,12152.5,128028,,,,76.64728091303488,1,0,12149.2,12142.125,,48.87852450284771,51.937498052280304,56.22963010261532,,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
20,2022-09-06 00:21:00,12156.5,12156.5,12156.5,12156.5,128092,,,,80.74540229998674,1,0,12150.75,12143.2875,,44.91305654698689,53.314121496603214,48.87852450284771,51.937498052280304,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
21,2022-09-06 00:22:00,12153.75,12153.75,12153.75,12153.75,128160,,,,71.46062371999633,1,0,12151.75,12144.3,,34.75830426248609,53.21008110106134,44.91305654698689,53.314121496603214,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
22,2022-09-06 00:23:00,12155.5,12155.5,12155.5,12155.5,128237,,,,73.5453356092254,1,0,12152.575,12145.35,,30.899881664987,53.31796513334505,34.75830426248609,53.21008110106134,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
23,2022-09-06 00:24:00,12159.25,12159.25,12159.25,12159.25,128380,,,,77.36150030837894,1,0,12153.35,12146.6625,,41.698134325565,53.39086288992149,30.899881664987,53.31796513334505,,,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
24,2022-09-06 00:25:00,12157.75,12157.75,12157.75,12157.75,128442,,,,72.83551908498676,1,0,12154.15,12147.925,,41.698134325565,52.01922104402757,41.698134325565,53.39086288992149,,8.070215423736954,,n,n,n,n,,,n,n,n,n,n,n,n,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
25,2022-09-06 00:26:00,12158.25,12158.25,12158.25,12158.25,128490,8.070215423736954,,,73.394280364524,1,0,12155.1,12149.0625,,37.03621293928123,50.937416099481524,41.698134325565,52.01922104402757,,7.664716579234664,,n,n,n,n,,,n,n,n,n,n,n,y,Nan,Nan,8.070215423736954,8.070215423736954,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
26,2022-09-06 00:27:00,12156.0,12156.0,12156.0,12156.0,128563,7.664716579234664,,,66.74129289824822,0,0,12155.325,12150.025,,35.51303444746686,48.66418432074073,37.03621293928123,50.937416099481524,,7.219784816970787,,n,n,n,n,8.070215423736954,,n,n,n,n,n,n,y,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
27,2022-09-06 00:28:00,12155.5,12155.5,12155.5,12155.5,128639,7.219784816970787,,,65.32419221843637,0,0,12155.675,12151.0125,,26.63445850777056,44.70229196848547,35.51303444746686,48.66418432074073,,6.928515945488471,,n,n,n,n,7.664716579234664,,n,n,n,n,n,n,y,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
28,2022-09-06 00:29:00,12157.25,12157.25,12157.25,12157.25,128683,6.928515945488471,,,67.89369529318043,0,0,12156.225,12152.025,,18.043412005331277,40.61370938066704,26.63445850777056,44.70229196848547,,6.581470351640746,,n,n,n,n,7.219784816970787,,n,n,n,n,n,n,y,Nan,Nan,,,6.928515945488471,6.928515945488471,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
29,2022-09-06 00:30:00,12156.75,12156.75,12156.75,12156.75,128720,6.581470351640746,,,66.38021132649078,0,0,12156.65,12152.925,,6.054191894114834,35.58044342717369,18.043412005331277,40.61370938066704,,6.274452061856209,,n,n,n,n,6.928515945488471,,n,n,n,n,n,n,y,Nan,Nan,6.581470351640746,6.581470351640746,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
30,2022-09-06 00:31:00,12157.25,12157.25,12157.25,12157.25,128751,6.274452061856209,,,67.16839099540394,0,0,12156.725,12153.7375,,7.338606336236236,30.49424691714357,6.054191894114834,35.58044342717369,,5.902577879696764,,n,n,n,n,6.581470351640746,,n,n,n,n,n,n,y,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
31,2022-09-06 00:32:00,12156.5,12156.5,12156.5,12156.5,128779,5.902577879696764,,,64.71747864476816,0,0,12157.0,12154.375,,-4.67741785888175,25.205272807573188,7.338606336236236,30.49424691714357,,5.823159897892765,,n,n,n,n,6.274452061856209,,n,n,n,n,n,n,y,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
32,2022-09-06 00:33:00,12160.0,12160.0,12160.0,12160.0,128859,5.823159897892765,,,70.18498537571686,1,0,12157.45,12155.0125,,-1.0416266760099742,23.679076869478514,-4.67741785888175,25.205272807573188,,5.774349115592486,6.693249119123316,n,n,n,n,5.902577879696764,,n,n,n,n,n,n,y,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
33,2022-09-06 00:34:00,12161.0,12161.0,12161.0,12161.0,129210,5.774349115592486,-0.9189000035308306,6.693249119123316,71.54189919567955,1,0,12157.625,12155.4875,,16.460014812040036,25.108212213174255,-1.0416266760099742,23.679076869478514,,5.949504780564894,6.544500251411632,n,n,n,n,5.823159897892765,,n,n,n,y,n,n,y,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
34,2022-09-06 00:35:00,12164.5,12164.5,12164.5,12164.5,129368,5.949504780564894,-0.5949954708467384,6.544500251411632,75.7088472924573,1,0,12158.3,12156.225,,34.16818532502535,26.874383513895545,16.460014812040036,25.108212213174255,-14.504889777812421,5.959105318301226,6.427421264789551,n,n,n,n,5.774349115592486,6.693249119123316,n,n,n,y,n,n,y,Nan,Nan,,,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
