,Datetime,Open,High,Low,Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_70,RSI_14_B_30,MA10,MA20,MA50,old_slope20,old_ma10_50,slopes,old_slope20s1,slope_chg_dn,slope_chg_up,slope_chg_up_s1,slope_chg_dn_s1,ma1s1,ma1s2,ma2s1,ma2s2,buy_pt,sell_pt,buy_pt_s1,sell_pt_s1,buy_price,Buy,Buy_zero,tot_buy,Buy_count_tmp,Buy_count,Sell,Sell_zero,tot_sell,Sell_count_tmp,Sell_count
0,2022-09-06 00:01:00,12133.25,12133.25,12133.25,12133.25,126275,,,,,0,0,,,,0.0,0.0,,,NaN,NaN,,,,,,,NaN,NaN,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
1,2022-09-06 00:02:00,12133.5,12133.5,12133.5,12133.5,126326,,,,,0,0,,,,0.0,0.0,,0.0,NaN,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
2,2022-09-06 00:03:00,12134.5,12134.5,12134.5,12134.5,126381,,,,,0,0,,,,0.0,0.0,,0.0,NaN,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
3,2022-09-06 00:04:00,12133.0,12133.0,12133.0,12133.0,126425,,,,,0,0,,,,0.0,0.0,,0.0,NaN,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
4,2022-09-06 00:05:00,12132.5,12132.5,12132.5,12132.5,126501,,,,,0,0,,,,0.0,0.0,,0.0,NaN,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
5,2022-09-06 00:06:00,12135.5,12135.5,12135.5,12135.5,126552,,,,,0,0,,,,0.0,0.0,,0.0,NaN,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
6,2022-09-06 00:07:00,12136.75,12136.75,12136.75,12136.75,126596,,,,,0,0,,,,0.0,0.0,,0.0,NaN,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
7,2022-09-06 00:08:00,12135.75,12135.75,12135.75,12135.75,126633,,,,,0,0,,,,0.0,0.0,,0.0,NaN,NaN,NaN,NaN,,12135.05,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
8,2022-09-06 00:09:00,12137.0,12137.0,12137.0,12137.0,126667,,,,,0,0,,,,0.0,0.0,,0.0,NaN,NaN,NaN,NaN,12135.05,12135.825,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
9,2022-09-06 00:10:00,12138.75,12138.75,12138.75,12138.75,126711,,,,,0,0,12135.05,,,0.0,0.0,29.80094368561923,0.0,NaN,NaN,NaN,NaN,12135.825,12136.85,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
10,2022-09-06 00:11:00,12141.0,12141.0,12141.0,12141.0,126902,,,,,0,0,12135.825,,,0.0,0.0,37.85694909723579,0.0,NaN,NaN,NaN,NaN,12136.85,12138.125,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
11,2022-09-06 00:12:00,12143.75,12143.75,12143.75,12143.75,127035,,,,,0,0,12136.85,,,0.0,0.0,46.520769661143774,0.0,NaN,NaN,NaN,NaN,12138.125,12139.975,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
12,2022-09-06 00:13:00,12147.25,12147.25,12147.25,12147.25,127292,,,,,0,0,12138.125,,,0.0,0.0,55.685554002890825,0.0,NaN,NaN,NaN,NaN,12139.975,12141.7,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
13,2022-09-06 00:14:00,12151.5,12151.5,12151.5,12151.5,127519,,,,,0,0,12139.975,,,0.0,0.0,61.64619001597067,0.0,NaN,NaN,NaN,NaN,12141.7,12143.025,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
14,2022-09-06 00:15:00,12149.75,12149.75,12149.75,12149.75,127618,,,,82.75669079542118,1,0,12141.7,,,0.0,0.0,62.090053846588305,0.0,NaN,NaN,NaN,NaN,12143.025,12144.725,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
15,2022-09-06 00:16:00,12148.75,12148.75,12148.75,12148.75,127692,,,,78.28035146868756,1,0,12143.025,,,0.0,0.0,61.72431165816921,0.0,NaN,NaN,NaN,NaN,12144.725,12146.35,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
16,2022-09-06 00:17:00,12153.75,12153.75,12153.75,12153.75,127885,,,,83.17943768485843,1,0,12144.725,,,0.0,0.0,63.7270963365411,0.0,NaN,NaN,NaN,NaN,12146.35,12147.825,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
17,2022-09-06 00:18:00,12152.0,12152.0,12152.0,12152.0,127963,,,,76.66174723654868,1,0,12146.35,,,0.0,0.0,61.269646992259624,0.0,NaN,NaN,NaN,NaN,12147.825,12149.2,,12142.125,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
